"%s was added to your shopping cart.","%s đã được thêm vào giỏ hàng."
"%s was successfully added to your shopping cart.","%s đã được thêm vào giỏ hàng."
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Có <a href=""%s""><strong>%s sản phẩm</strong></a> trong giỏ hàng của bạn."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Có <a href=""%s""><strong>1 sản phẩm</strong></a> trong giỏ hàng của bạn."
"There is already a customer registered using this email address","Đã có người dùng khác sử dụng địa chỉ email này"
There was an error processing your order. Please contact us or try again later.,Có lỗi khi xử lý đơn hàng của bạn. Vui lòng liên hệ để được trợ giúp hoặc thử lại sau.
"This condition no longer exists","Điều kiện này không còn tồn tại"
Total,Tổng số
Total for this address,Tổng cho địa chỉ này
Unit Price,Giá đơn vị
Update Qty &amp; Addresses,Cập nhật số lượng &amp; địa chỉ
Update Shopping Cart,Cập nhật giỏ hàng
Update Total,Cập nhật tổng cộng
Use Billing Address,Sử dụng địa chỉ thanh toán
We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.,Chúng tôi đang xử lý đơn hàng của bạn và bạn sẽ nhận ngay được email thông báo chi tiết về đơn hàng. Khi chúng tôi gửi hàng, bạn sẽ nhận được một email khác cùng với đường dẫn để theo dõi quá trình này.
You have no items in your shopping cart.,Không có sản phẩm nào trong giỏ hàng của bạn.
You will receive an order confirmation email with details of your order and a link to track its progress.,Email xác nhận Đơn hàng đã được gửi tới địa chỉ email của bạn. Nếu không thấy email trong hộp thư đến (Inbox) vui lòng kiểm tra hộp thư Spam hoặc Junk Folder.
Your Checkout Progress,Các bước thanh toán
Your order # is: %s,Wannabe.com.vn đã nhận được Đơn hàng <span class="opc-order-id">%s</span> của bạn
"Your order # is: <a href=""%s"">%s</a>",Wannabe.com.vn đã nhận được Đơn hàng <a class="opc-order-id" href=""%s"">%s</a> của bạn
Your order has been received,Wannabe.com.vn đã nhận được Đơn hàng của bạn
Your order number is,Số đơn hàng của bạn là
Zip/Postal Code,Mã vùng
Male,Nam
Female,Nữ
osCommerce Orders,"Đơn hàng osCommerce"
"separate by "",""","phân cách bằng "","""
"Weight(gr)","Trọng lượng <br /> (gr)"
Total weight:,Tổng trọng lượng:
"Các Phương thức Vận Chuyển khác - ems==1-2","Vận chuyển Nhanh (1-2 ngày làm việc trừ T7 và CN)"
"Các Phương thức Vận Chuyển khác - ems==1 - 2","Vận chuyển Nhanh (1-2 ngày làm việc trừ T7 và CN)"
"Các Phương thức Vận Chuyển khác - normal==3-7","Vận chuyển Tiết Kiệm (3-7 ngày làm việc trừ T7 và CN)"
"Các Phương thức Vận Chuyển khác - normal==3 - 7","Vận chuyển Tiết Kiệm (3-7 ngày làm việc trừ T7 và CN)"
"Các Phương thức Vận Chuyển khác - normal==3-4","Vận chuyển Tiết Kiệm (3-4 ngày làm việc trừ T7 và CN)"
"Các Phương thức Vận Chuyển khác - normal==3-5","Vận chuyển Tiết Kiệm (3-5 ngày làm việc trừ T7 và CN)"
"Các Phương thức Vận Chuyển khác - normal==3 - 4","Vận chuyển Tiết Kiệm (3-4 ngày làm việc trừ T7 và CN)"
"Đơn hàng của bạn đủ điều kiện được MIỄN PHÍ VẬN CHUYỂN - Miễn phí vận chuyển (3-4 ngày làm việc):","Miễn phí vận chuyển (3-4 ngày làm việc)"
"Các Phương thức Vận Chuyển khác - ems==5","Vận chuyển Nhanh (5 ngày làm việc trừ T7 và CN)"
"Các Phương thức Vận Chuyển khác - normal==3-10","Vận chuyển Tiết Kiệm (3-10 ngày làm việc trừ T7 và CN)"
"Các Phương thức Vận Chuyển khác - normal==6-10","Vận chuyển Tiết Kiệm (6-10 ngày làm việc trừ T7 và CN)"
"Các Phương thức Vận Chuyển khác - normal==3 - 10","Vận chuyển Tiết Kiệm (3-10 ngày làm việc trừ T7 và CN)"
"Các Phương thức Vận Chuyển khác - ems==2-3","Vận chuyển Nhanh (2-3 ngày làm việc trừ T7 và CN)"
"Các Phương thức Vận Chuyển khác - ems==2 - 3","Vận chuyển Nhanh (2-3 ngày làm việc trừ T7 và CN)"
"Chi phí vận chuyển (Các Phương thức Vận Chuyển khác - ems==2-3)","Chi phí vận chuyển (Vận chuyển Nhanh (2 - 3 ngày làm việc trừ T7 và CN))"
"Chi phí vận chuyển (Các Phương thức Vận Chuyển khác - normal==3-10)","Chi phí vận chuyển (Vận chuyển Tiết Kiệm (3-10 ngày làm việc trừ T7 và CN))"
"Chi phí vận chuyển (Các Phương thức Vận Chuyển khác - normal==6-10)","Chi phí vận chuyển (Vận chuyển Tiết Kiệm (6-10 ngày làm việc trừ T7 và CN))"
"Chi phí vận chuyển (Các Phương thức Vận Chuyển khác - ems==2-4)","Chi phí vận chuyển (Vận chuyển Nhanh (2 - 4 ngày làm việc trừ T7 và CN))"
"Các Phương thức Vận Chuyển khác - ems==2-4","Vận chuyển Nhanh (2-4 ngày làm việc trừ T7 và CN)"
"saved", "Đã lưu"
"Update All Cart", "Cập nhật tất cả"
"Your order has been received.","Bạn đã đặt hàng thành công."
"Your order # is: %s.","Đơn hàng của bạn là: %s."
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Nhấn chuột <a href=""%s"" onclick=""this.target=\'_blank\'"">tại đây</a> để in bản sao đơn hàng của bạn."
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">vào đây</a> để tiếp tục mua sắm."
"View Cart","Giỏ hàng"
