# of Use,# của sử dụng
%1$s incl tax.,%1$s bao gồm thuế.
%s - %s,%s - %s
%s Item(s),%s sản phẩm
Visibility,Khả năng hiển thị
Visible,Có thể hiện thị
Visible on Catalog Pages on Front-end,Có thể hiển thị các trang catalog trên Front-end
Watermark,Watermark
watermark Mặc định size,Kích thước mặc định watermark
Watermark Position,Vị trí watermark
Website,Website
Websites,Websites
Yes,Có
Yes/No,Có/Không
You cannot delete this attribute,Bạn không thể xóa thuộc tính này
You cannot edit this attribute,Bạn không thể chỉnh sửa thuộc tính này
You cannot remove system attribute from this set.,Bạn không thể bỏ thuộc tính hệ thống từ thiết lập này.
You cannot update this attribute,Bạn không thể cập nhật thuộc tính này
You have no items to compare.,Không có sản phẩm để so sánh.
"You may also be interested in the following product(s)","Có thể bạn cũng quan tâm tới những sản phẩm này".
"You Save:","Tiết kiệm:"
Zoom In,Phóng to
Zoom Out,Thu nhỏ
[GLOBAL],[GLOBAL]
and,và
and above,và trên đây
cache refresh needed,Cần refesh bộ đệm (cache)
categories,các danh mục
comma separated,được phân cách bằng dấu phẩy
each,mỗi
ex. http://domain.com,vd. http://domain.com
must be in the allowed values list,phải thuộc danh sách giá trị được phép
per page,trên trang
products,các sản phẩm
save,lưu
select all,chọn tất cả
unselect all,hủy chọn tất cả
##############################################################################################
Hardcover,Bìa cứng
Paperback,Bìa mềm
View All Bestseller,Xem tất cả sách bán chạy
- Author:,- Tác giả:
Author:,Tác giả:
Sale Off,Tiết kiệm
Sale Off:,Tiết kiệm:
Vietnamese,Tiếng việt
Press Reviews,Báo chí giới thiệu
Book Catalog,Thể loại sách
"Shopping cart: <span id=""cartqty"">0</span>"," Giỏ hàng: <span id=""cartqty"">0</span>"
"Shopping cart: <span id=""cartqty"">%s</span>"," Giỏ hàng: <span id=""cartqty"">%s</span>"
<a href="%s">Shopping cart: 1</a>, <a href="%s">Giỏ hàng: 1</a>
##############################################################################################
"6""","6"" (15.24cm)"
"600 x 800 pixel resolution at 167 ppi","Độ phân giải 600x800 với 167 ppi (điểm ảnh/inch)"
"E Ink® electronic paper display","Màn hình sử dụng công nghệ mực điện tử E Ink®"
"16-level gray scale","Màn hình đen trắng 16 sắc độ xám."
"None, because it's wireless and doesn't require a computer.","Không yêu cầu. Giao tiếp không dây và  không cần thông qua máy tính. (Tại những nước chưa có hỗ trợ kết nối không dây vẫn cần dùng máy tính để chuyển sách, dữ liệu vào máy."
"2GB internal (approximately 1.4GB available for user content).","Bộ nhớ trong 2GB (Khoảng 1.4GB trống để chứa dữ liệu)."
"Read on a single charge for up to 1 week with wireless on. Turn wireless off and read for up to 2 weeks. Battery life will vary based on wireless usage, such as shopping the Kindle Store and downloading content. In low-coverage areas or in EDGE/GPRS-only coverage, wireless usage will consume battery power more quickly.","1 tuần khi bật wireless. 2 tuần khi tắt wireless. Dung lượng pin còn phụ thuộc vào một số yếu tố khác"
"Fully charges in approximately 4 hours via the included U.S. power adapter. Also supports charging from your computer via the included USB 2.0 cable.","Sạc đầy trong vòng 4 giờ khi dùng thiết bị sạc điện đi kèm. Hỗ trợ tính năng sạc qua máy tính bằng cáp USB 2.0 đi kèm"
"HSDPA modem (3G) with a fallback to EDGE/GPRS; utilizes Amazon Whispernet to provide wireless coverage via AT&T's 3G high-speed data network in the U.S. and partner networks outside of the U.S. See Wireless Terms and Conditions.","Kết nối không dây 3G, có thể chuyển sang EDGE/GPRS nếu khu vực không có 3G (tại Mỹ và một số nước). Chưa có tại Việt Nam"
"USB 2.0 (micro-B connector) for connection to the Kindle U.S. power adapter or optionally to connect to a PC or Macintosh computer.","USB 2.0 (đầu cắm micro-B vừa dùng để kết nối nguồn điện vừa dùng để nối với máy PC hoặc Mac."
"3.5mm stereo audio jack, rear-mounted stereo speakers.","Lỗ cắm stereo 3.5mm. Loa ngoài mặt sau máy."
"Kindle (AZW), TXT, PDF, Audible (Audible Enhanced (AA, AAX)), MP3, unprotected MOBI, PRC natively; HTML, DOC, JPEG, GIF, PNG, BMP through conversion","Hỗ trợ trực tiếp: Kindle (AZW), TXT, PDF, Audible (Audible Enhanced (AA, AAX)), MP3, unprotected MOBI, PRC; Hỗ trợ nhưng cần chuyển đổi: HTML, DOC, JPEG, GIF, PNG, BMP"
"U.S. power adapter (supports 100V-240V), USB 2.0 cable, rechargeable battery. Book cover sold separately","Bộ nguồn U.S (100-240V), cáp USB 2.0, pin sạch. Bìa sách bán riêng."
"Quick Start Guide (included in box) [PDF]; Kindle User's Guide (pre-installed on device) [PDF]. Additional information in multiple languages available online.","Sổ hướng dẫn sử dụng (cài sẵn trên máy) [PDF]. Thông tin thêm về việc hỗ trợ đa ngôn ngữ"
"1-year limited warranty and service included. <strong>30 days warranty by Wannabe.com.vn</strong>","Bảo hành có điều kiện trong 1 năm (bởi Amazon). <strong>Bảo hành 30 ngày tại Wannabe.com.vn</strong>"
"Khong the xoa san pham nay, vi da co don hang.","Không thể xóa sản phẩm này, vì đã có đơn hàng."
"Quick Overview:","Mô tả ngắn:"
"View cart & checkout","Xem giỏ hàng & thanh toán"
"Continue shopping","Tiếp tục mua hàng"
"Quantity:","Số lượng:"
"Product code:","Mã hàng:"
"Availability:","Tình trạng:"
"was successfully added to your shopping cart.","đã được thêm vào giỏ hàng."
"%s and above","%s và cao hơn"
